Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1325615400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615460,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615520,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615580,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615640,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615820,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325615940,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616060,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616120,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616180,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616240,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616420,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616480,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616540,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616600,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616660,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616720,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616780,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325616960,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617080,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617140,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617200,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617260,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617320,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617380,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617440,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617500,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617560,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617620,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617680,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617740,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617860,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617920,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325617980,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618220,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618340,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618400,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618460,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618520,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618580,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618640,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618820,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325618940,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619060,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619120,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1325619180,NaN,NaN,NaN,NaN,NaN,NaN,NaN
